Player,Elo,Score,game_count,player_name,Pos,team,dob
Jeff Carter,1527.45129,68.82701876,117,Jeff Carter,C,LAK,1/1/85
Jeff Petry,1511.82219,52.80353763,94,Jeff Petry,D,MTL,12/9/87
Jeff Skinner,1516.58088,57.68230733,84,Jeff Skinner,L,CAR,5/16/92
Jeff Zatkoff,1469.92026,9.844263914,80,Jeff Zatkoff,G,PIT,6/9/87
Jesper Fast,1492.48247,32.97580356,77,Jesper Fast,R,NYR,12/2/91
Jhonas Enroth,1488.00924,28.3896971,106,Jhonas Enroth,G,LAK,6/25/88
Jimmy Hayes,1498.11233,38.74772616,98,Jimmy Hayes,R,BOS,11/21/89
Jimmy Howard,1500.3684,41.06072531,111,Jimmy Howard,G,DET,3/26/84
Jiri Hudler,1522.52459,63.77599954,106,Jiri Hudler,R,FLA,1/4/84
Jiri Sekac,1497.42962,38.04778881,104,Jiri Sekac,L,ARI,6/10/92
Jiri Tlusty,1496.37267,36.96416798,52,Jiri Tlusty,L,NJD,3/16/88
Joakim Nordstrom,1475.49073,15.55529788,102,Joakim Nordstrom,L,CAR,2/25/92
Joe Colborne,1488.12001,28.50326224,122,Joe Colborne,C,CGY,1/30/90
Joel Armia,1493.2751,33.7884346,18,Joel Armia,R,WPG,5/31/93
Joel Edmundson,1483.67731,23.94845617,51,Joel Edmundson,D,STL,6/28/93
Joel Ward,1508.85537,49.76185357,81,Joel Ward,R,SJS,12/2/80
Joe Morrow,1486.67859,27.02546978,53,Joe Morrow,D,BOS,12/9/92
Joe Pavelski,1543.1151,84.88608576,122,Joe Pavelski,C,SJS,7/11/84
Joe Thornton,1535.54562,77.12559924,102,Joe Thornton,C,SJS,7/2/79
Joe Vitale,1471.44845,11.41101591,96,Joe Vitale,C,ARI,8/20/85
Joffrey Lupul,1493.93999,34.47010229,101,Joffrey Lupul,L,TOR,9/23/83
Johan Franzen,1492.9331,33.43780465,72,Johan Franzen,R,DET,12/23/79
Johan Larsson,1482.87785,23.12882278,83,Johan Larsson,L,BUF,7/25/92
John Carlson,1531.27224,72.74438574,121,John Carlson,D,WSH,1/10/90
John Gibson,1503.73464,44.51190824,71,John Gibson,G,ANA,7/14/93
John Klingberg,1538.69497,80.35441921,119,John Klingberg,D,DAL,8/14/92
John-Michael Liles,1502.76031,43.51299222,74,John-Michael Liles,D,BOS,11/25/80
John Mitchell,1479.84012,20.01443939,101,John Mitchell,C,COL,1/22/85
John Moore,1483.71527,23.98737404,131,John Moore,D,NJD,11/19/90
Johnny Boychuk,1525.66591,66.99658689,115,Johnny Boychuk,D,NYI,1/19/84
Johnny Gaudreau,1528.15915,69.55274074,101,Johnny Gaudreau,L,CGY,8/13/93
Johnny Oduya,1505.96989,46.80356203,93,Johnny Oduya,D,DAL,10/1/81
John Tavares,1546.97482,88.84320105,115,John Tavares,C,NYI,9/20/90
Jonas Brodin,1513.23356,54.25052182,101,Jonas Brodin,D,MIN,7/12/93
Jonas Gustavsson,1484.44036,24.7307608,66,Jonas Gustavsson,G,BOS,10/24/84
Jonas Hiller,1491.32372,31.78781393,122,Jonas Hiller,G,CGY,2/12/82
Jonathan Bernier,1503.745,44.52252967,94,Jonathan Bernier,G,TOR,8/7/88
Jonathan Ericsson,1496.51501,37.11009975,97,Jonathan Ericsson,D,DET,3/2/84
Jonathan Huberdeau,1530.08468,71.52685913,90,Jonathan Huberdeau,L,FLA,6/4/93
Jonathan Marchessault,1478.34912,18.48581584,109,Jonathan Marchessault,C,TBL,12/27/90
Jonathan Quick,1526.22595,67.57075882,106,Jonathan Quick,G,LAK,1/21/86
Jonathan Toews,1547.28882,89.16512446,148,Jonathan Toews,C,CHI,4/29/88
Joni Ortio,1499.42632,40.09487308,21,Joni Ortio,G,CGY,4/16/91
Jon Merrill,1491.25127,31.71353574,102,Jon Merrill,D,NJD,2/3/92
Joonas Donskoi,1493.6297,34.1519825,58,Joonas Donskoi,R,SJS,4/13/92
Joonas Korpisalo,1495.82832,36.40608197,24,Joonas Korpisalo,G,CBJ,4/28/94
Jordan Eberle,1519.24512,60.41377615,93,Jordan Eberle,R,EDM,5/15/90
Jordan Martinook,1484.47696,24.76828435,45,Jordan Martinook,L,ARI,7/25/92
Jordan Nolan,1461.58499,1.298663618,133,Jordan Nolan,C,LAK,6/23/89
Jordan Oesterle,1496.71936,37.31960627,13,Jordan Oesterle,D,EDM,6/25/92
Jordan Schroeder,1483.27915,23.54024909,70,Jordan Schroeder,C,MIN,9/29/90
Jordan Staal,1510.3121,51.25534237,125,Jordan Staal,C,CAR,9/10/88
Jordan Weal,1478.02862,18.15722842,73,Jordan Weal,C,PHI,4/15/92
Jordie Benn,1490.39104,30.83159889,121,Jordie Benn,D,DAL,7/26/87
Jordin Tootoo,1479.49159,19.65711467,89,Jordin Tootoo,R,NJD,2/2/83
Jori Lehtera,1504.09498,44.88134098,115,Jori Lehtera,C,STL,12/23/87
Joseph Blandisi,1497.00218,37.60956289,15,Joseph Blandisi,L,NJD,7/18/94
Josh Bailey,1507.32508,48.19294859,86,Josh Bailey,R,NYI,10/2/89
Josh Gorges,1484.2162,24.50094439,97,Josh Gorges,D,BUF,8/14/84
Josh Jooris,1490.57499,31.02019065,100,Josh Jooris,C,CGY,7/14/90
Josh Manson,1497.64736,38.27102321,49,Josh Manson,D,ANA,10/7/91
J.T. Brown,1487.4522,27.81860088,89,J.T. Brown,R,TBL,7/2/90
J.T. Miller,1501.60014,42.32354676,105,J.T. Miller,C,NYR,3/14/93
Jussi Jokinen,1520.39362,61.59125713,85,Jussi Jokinen,L,FLA,4/1/83
Justin Abdelkader,1502.33519,43.07714484,104,Justin Abdelkader,L,DET,2/25/87
Justin Braun,1504.7645,45.5677555,108,Justin Braun,D,SJS,2/10/87
Justin Faulk,1537.90575,79.54528422,107,Justin Faulk,D,CAR,3/20/92
Justin Fontaine,1504.3083,45.10004385,89,Justin Fontaine,R,MIN,11/6/87
Justin Schultz,1486.57957,26.92395113,109,Justin Schultz,D,PIT,7/6/90
Justin Williams,1518.41526,59.56297565,77,Justin Williams,R,WSH,10/4/81
Jyrki Jokipakka,1478.83494,18.98389491,115,Jyrki Jokipakka,D,CGY,8/20/91
Kari Lehtonen,1495.42248,35.9900011,105,Kari Lehtonen,G,DAL,11/16/83
Karl Alzner,1509.28629,50.20364731,124,Karl Alzner,D,WSH,9/24/88
Karri Ramo,1490.4023,30.84314303,124,Karri Ramo,G,CGY,7/1/86
Keith Kinkaid,1482.63607,22.88094176,104,Keith Kinkaid,G,NJD,7/4/89
Keith Yandle,1514.01532,55.05200857,114,Keith Yandle,D,NYR,9/9/86
Kenny Agostino,1496.42956,37.02249353,8,Kenny Agostino,L,CGY,4/30/92
Kevan Miller,1486.43005,26.77065818,98,Kevan Miller,D,BOS,11/15/87
Kevin Bieksa,1497.58501,38.20709989,93,Kevin Bieksa,D,ANA,6/16/81
Kevin Connauton,1481.959,22.18678673,119,Kevin Connauton,D,ARI,2/23/90
Kevin Hayes,1516.70301,57.80751913,90,Kevin Hayes,R,NYR,5/8/92
Kevin Klein,1502.51849,43.26507019,123,Kevin Klein,D,NYR,12/13/84
Kevin Porter,1482.66037,22.90585494,42,Kevin Porter,C,PIT,3/12/86
Kevin Shattenkirk,1535.95894,77.54934886,104,Kevin Shattenkirk,D,STL,1/29/89
Klas Dahlbeck,1476.39794,16.48540021,105,Klas Dahlbeck,D,ARI,7/6/91
Korbinian Holzer,1489.67417,30.09663956,78,Korbinian Holzer,D,ANA,2/16/88
Kris Letang,1535.68675,77.27029048,100,Kris Letang,D,PIT,4/24/87
Kris Russell,1504.71946,45.52157897,144,Kris Russell,D,DAL,5/2/87
Kris Versteeg,1499.44013,40.10903156,93,Kris Versteeg,R,LAK,5/13/86
Kyle Brodziak,1486.71043,27.05811322,109,Kyle Brodziak,C,STL,5/25/84
Kyle Chipchura,1479.12308,19.27930577,98,Kyle Chipchura,C,ARI,2/19/86
Kyle Clifford,1477.81643,17.93968406,90,Kyle Clifford,L,LAK,1/13/91
Kyle Okposo,1529.57555,71.00488186,104,Kyle Okposo,R,NYI,4/16/88
Kyle Palmieri,1511.93328,52.91743085,105,Kyle Palmieri,R,NJD,2/1/91
Kyle Quincey,1487.3837,27.74837236,96,Kyle Quincey,D,DET,8/12/85
Kyle Rau,1492.50052,32.99430903,24,Kyle Rau,C,FLA,10/24/92
Kyle Turris,1523.29572,64.56658806,136,Kyle Turris,C,OTT,8/14/89
Ladislav Smid,1466.13142,5.959817193,126,Ladislav Smid,D,CGY,2/1/86
Lance Bouma,1482.81745,23.06689866,128,Lance Bouma,C,CGY,3/25/90
Landon Ferraro,1478.32667,18.46279934,130,Landon Ferraro,C,BOS,8/8/91
Lars Eller,1499.88801,40.56821326,117,Lars Eller,C,MTL,5/8/89
Laurent Brossoit,1491.84096,32.31810584,25,Laurent Brossoit,G,EDM,3/23/93
Lauri Korpikoski,1482.04076,22.27060984,75,Lauri Korpikoski,L,EDM,7/28/86
Lee Stempniak,1503.87611,44.65694807,41,Lee Stempniak,R,BOS,2/4/83
Leo Komarov,1492.85113,33.35376624,130,Leo Komarov,C,TOR,1/23/87
Leon Draisaitl,1507.07779,47.93941853,38,Leon Draisaitl,C,EDM,10/27/95
Linden Vey,1485.0314,25.33671496,67,Linden Vey,R,VAN,7/17/91
Logan Couture,1536.30341,77.90251114,130,Logan Couture,C,SJS,3/28/89
Logan Shaw,1491.15466,31.61448791,16,Logan Shaw,R,FLA,10/5/92
Loui Eriksson,1519.27272,60.4420726,98,Loui Eriksson,R,BOS,7/17/85
Louis Domingue,1495.19164,35.75333614,29,Louis Domingue,G,ARI,3/6/92
Luca Sbisa,1462.80408,2.548515856,109,Luca Sbisa,D,VAN,1/30/90
Lucas Lessio,1493.57363,34.09449764,13,Lucas Lessio,L,MTL,1/23/93
Luke Gazdic,1468.16017,8.039760206,92,Luke Gazdic,L,EDM,7/25/89
Luke Glendening,1479.09622,19.25176799,111,Luke Glendening,C,DET,4/28/89
Luke Schenn,1482.32295,22.55992056,118,Luke Schenn,D,LAK,11/2/89
Magnus Paajarvi,1485.93189,26.25992772,53,Magnus Paajarvi,L,STL,4/12/91
Marc-Andre Fleury,1518.90524,60.06531969,102,Marc-Andre Fleury,G,PIT,11/28/84
Marc-Edouard Vlasic,1538.06059,79.70403141,124,Marc-Edouard Vlasic,D,SJS,3/30/87
Marc Methot,1492.91138,33.41553658,123,Marc Methot,D,OTT,6/21/85
Marco Scandella,1501.53641,42.25820861,108,Marco Scandella,D,MIN,2/23/90
Marc Staal,1496.60156,37.19883374,127,Marc Staal,D,NYR,1/13/87
Marcus Foligno,1491.99932,32.48046186,84,Marcus Foligno,L,BUF,8/10/91
Marcus Johansson,1519.84749,61.03134621,111,Marcus Johansson,L,WSH,10/6/90
Marcus Kruger,1490.48817,30.93117985,130,Marcus Kruger,C,CHI,5/27/90
Marek Zidlicky,1495.90856,36.48834673,44,Marek Zidlicky,D,NYI,2/3/77
Marian Gaborik,1510.30794,51.25107739,89,Marian Gaborik,R,LAK,2/14/82
Marian Hossa,1524.38358,65.68189887,80,Marian Hossa,R,CHI,1/12/79
Mark Barberio,1488.59305,28.98823883,78,Mark Barberio,D,MTL,3/23/90
Mark Borowiecki,1471.0022,10.95350534,122,Mark Borowiecki,D,OTT,7/12/89
Mark Fayne,1481.75963,21.98238587,110,Mark Fayne,D,EDM,5/15/87
Mark Giordano,1543.21058,84.98397508,109,Mark Giordano,D,CGY,10/3/83
Mark Letestu,1472.36909,12.35488713,117,Mark Letestu,C,EDM,2/4/85
Marko Dano,1505.42325,46.24312824,66,Marko Dano,C,WPG,11/30/94
Mark Pysyk,1504.18811,44.976821,61,Mark Pysyk,D,BUF,1/11/92
Mark Scheifele,1521.79483,63.02782495,107,Mark Scheifele,C,WPG,3/15/93
Mark Stone,1528.15703,69.55056725,87,Mark Stone,R,OTT,5/13/92
Mark Streit,1507.20253,48.06730619,82,Mark Streit,D,PHI,12/11/77
Mark Stuart,1492.4461,32.93851581,116,Mark Stuart,D,WPG,4/27/84
Markus Granlund,1481.8313,22.05586437,116,Markus Granlund,C,VAN,4/16/93
Martin Hanzal,1517.45173,58.57513216,127,Martin Hanzal,C,ARI,2/20/87
Martin Jones,1521.36044,62.58247365,143,Martin Jones,G,SJS,1/10/90
Martin Marincin,1485.14884,25.45711842,128,Martin Marincin,D,TOR,2/18/92
Mathieu Perreault,1523.83356,65.11799979,115,Mathieu Perreault,C,WPG,1/5/88
Mats Zuccarello,1516.14686,57.23733536,98,Mats Zuccarello,R,NYR,9/1/87
Matt Bartkowski,1472.75176,12.74721334,116,Matt Bartkowski,D,VAN,6/4/88
Matt Beleskey,1511.26154,52.22874032,94,Matt Beleskey,L,BOS,6/7/88
Matt Calvert,1484.63865,24.9340544,105,Matt Calvert,L,CBJ,12/24/89
Matthew Carle,1496.01735,36.59988191,102,Matthew Carle,D,TBL,9/25/84
Matt Cullen,1488.65392,29.05064481,56,Matt Cullen,C,PIT,11/2/76
Matt Duchene,1533.81995,75.35638407,120,Matt Duchene,C,COL,1/16/91
Matt Dumba,1495.31959,35.8845148,89,Matt Dumba,D,MIN,7/25/94
Matt Greene,1482.9872,23.24093209,141,Matt Greene,D,LAK,5/13/83
Matt Halischuk,1483.53946,23.80712769,57,Matt Halischuk,R,WPG,6/1/88
Matt Hendricks,1483.42027,23.68493008,72,Matt Hendricks,L,EDM,6/17/81
Matthew Murray,1508.39255,49.28735488,37,Matthew Murray,G,PIT,5/25/94
Matt Hunwick,1479.25103,19.41048443,111,Matt Hunwick,D,TOR,5/21/85
Mattias Ekholm,1511.82158,52.80291224,145,Mattias Ekholm,D,NSH,5/24/90
Mattias Janmark,1498.17049,38.80735376,49,Mattias Janmark,C,DAL,12/8/92
Matt Martin,1476.01857,16.09645727,91,Matt Martin,L,NYI,5/8/89
Matt Moulson,1510.25067,51.19236225,89,Matt Moulson,L,BUF,11/1/83
Matt Nieto,1497.22835,37.84144001,95,Matt Nieto,L,SJS,11/5/92
Matt Niskanen,1518.00076,59.13801625,124,Matt Niskanen,D,WSH,12/6/86
Matt Puempel,1492.53457,33.02921824,72,Matt Puempel,L,OTT,1/24/93
Matt Read,1487.39808,27.76311523,98,Matt Read,R,PHI,6/14/86
Matt Stajan,1492.97304,33.47875249,115,Matt Stajan,C,CGY,12/19/83
Matt Tennyson,1480.34673,20.53383307,62,Matt Tennyson,D,SJS,4/23/90
Max Domi,1514.59367,55.64495252,35,Max Domi,L,ARI,3/2/95
Max Pacioretty,1536.63814,78.24568764,104,Max Pacioretty,L,MTL,11/20/88
Melker Karlsson,1488.36968,28.75923236,113,Melker Karlsson,C,SJS,7/18/90
Michael Cammalleri,1506.07622,46.91257514,97,Michael Cammalleri,L,NJD,6/8/82
Michael Del Zotto,1496.47003,37.06398474,147,Michael Del Zotto,D,PHI,6/24/90
Michael Frolik,1523.20664,64.47526024,112,Michael Frolik,R,CGY,2/17/88
Michael Grabner,1509.25329,50.1698146,93,Michael Grabner,R,TOR,10/5/87
Michael Hutchinson,1487.22295,27.58356604,114,Michael Hutchinson,G,WPG,3/2/90
Michael Latta,1475.19155,15.24856844,135,Michael Latta,C,WSH,5/25/91
Michael McCarron,1500.37202,41.06443666,3,Michael McCarron,R,MTL,3/7/95
Michael Raffl,1491.85644,32.33397646,88,Michael Raffl,L,PHI,12/1/88
Michael Stone,1492.36119,32.85146321,129,Michael Stone,D,ARI,6/7/90
Michal Jordan,1474.73082,14.77621249,117,Michal Jordan,D,CAR,7/17/90
Michal Neuvirth,1505.33846,46.15619867,121,Michal Neuvirth,G,PHI,3/23/88
Michal Rozsival,1486.59471,26.93947317,51,Michal Rozsival,D,CHI,9/3/78
Micheal Ferland,1489.4374,29.85389496,85,Micheal Ferland,L,CGY,4/20/92
Miikka Salomaki,1497.70995,38.33519259,14,Miikka Salomaki,R,NSH,3/9/93
Mikael Backlund,1517.10759,58.22230821,114,Mikael Backlund,C,CGY,3/17/89
Mikael Granlund,1505.39188,46.21096666,107,Mikael Granlund,C,MIN,2/26/92
Mika Zibanejad,1514.9221,55.98167005,106,Mika Zibanejad,C,OTT,4/18/93
Mike Blunden,1496.14841,36.73424905,16,Mike Blunden,R,TBL,12/15/86
Mike Brown,1476.29533,16.38020097,84,Mike Brown,R,MTL,6/24/85
Mike Condon,1487.50666,27.87443511,66,Mike Condon,G,MTL,4/27/90
Mike Fisher,1502.55605,43.30357797,92,Mike Fisher,C,NSH,6/5/80
Mike Green,1528.54052,69.94373415,122,Mike Green,D,DET,10/12/85
Mike Hoffman,1522.75242,64.00957855,94,Mike Hoffman,L,OTT,11/24/89
Mike Reilly,1486.70343,27.05093659,71,Mike Reilly,D,MIN,7/13/93
Mike Ribeiro,1505.01207,45.82157262,80,Mike Ribeiro,C,NSH,2/10/80
Mike Richards,1488.63482,29.03106284,37,Mike Richards,C,WSH,2/11/85
Mike Santorelli,1493.91264,34.44206214,55,Mike Santorelli,C,ANA,12/14/85
Mike Sislo,1495.50293,36.07248116,12,Mike Sislo,R,NJD,1/20/88
Mike Smith,1500.84901,41.55346292,90,Mike Smith,G,ARI,3/22/82
Mike Weber,1467.3757,7.235495069,129,Mike Weber,D,WSH,12/16/87
Mikhail Grabovski,1508.87474,49.78171235,110,Mikhail Grabovski,C,NYI,1/31/84
Mikko Koivu,1514.37943,55.42530644,132,Mikko Koivu,C,MIN,3/12/83
Milan Lucic,1518.31823,59.46349722,98,Milan Lucic,L,LAK,6/7/88
Milan Michalek,1497.24407,37.85755669,108,Milan Michalek,L,TOR,12/7/84
Morgan Rielly,1523.07663,64.3419696,93,Morgan Rielly,D,TOR,3/9/94
Nail Yakupov,1501.7373,42.46416782,94,Nail Yakupov,R,EDM,10/6/93
Nate Prosser,1474.78519,14.83195445,95,Nate Prosser,D,MIN,5/7/86
Nate Schmidt,1470.91329,10.86235181,123,Nate Schmidt,D,WSH,7/16/91
Nate Thompson,1479.12218,19.27838306,96,Nate Thompson,C,ANA,10/5/84
Nathan Beaulieu,1489.11783,29.526261,133,Nathan Beaulieu,D,MTL,12/5/92
Nathan Gerbe,1496.54158,37.13734021,101,Nathan Gerbe,L,CAR,7/24/87
Nathan Horton,1479.49906,19.66477316,54,Nathan Horton,R,TOR,5/29/85
Nathan MacKinnon,1529.57114,71.00036057,78,Nathan MacKinnon,C,COL,9/1/95
Nazem Kadri,1522.75036,64.00746657,135,Nazem Kadri,C,TOR,10/6/90
Nick Bjugstad,1519.63326,60.81171038,113,Nick Bjugstad,C,FLA,7/17/92
Nick Bonino,1510.13932,51.07820247,134,Nick Bonino,C,PIT,4/20/88
Nick Cousins,1486.11482,26.44747374,68,Nick Cousins,C,PHI,7/20/93
Nick Foligno,1527.54743,68.92558474,85,Nick Foligno,L,CBJ,10/31/87
Nick Holden,1478.45757,18.59700244,102,Nick Holden,D,COL,5/15/87
Nicklas Backstrom,1541.25511,82.9791612,139,Nicklas Backstrom,C,WSH,11/23/87
Nicklas Grossmann,1475.94247,16.01843698,113,Nicklas Grossmann,D,ARI,1/22/85
Nick Leddy,1537.89039,79.52953663,138,Nick Leddy,D,NYI,3/20/91
Nick Paul,1497.44834,38.06698119,5,Nick Paul,L,OTT,3/20/95
Nick Ritchie,1497.83844,38.46692488,10,Nick Ritchie,L,ANA,12/5/95
Nick Schultz,1476.03973,16.11815122,102,Nick Schultz,D,PHI,8/25/82
Nick Shore,1472.62001,12.61213879,134,Nick Shore,C,LAK,9/26/92
Nick Spaling,1472.91461,12.91417266,125,Nick Spaling,C,SJS,9/19/88
Nicolas Deslauriers,1479.87604,20.05126579,91,Nicolas Deslauriers,L,BUF,2/22/91
Nikita Kucherov,1531.8934,73.38121995,76,Nikita Kucherov,R,TBL,6/17/93
Nikita Nesterov,1495.80048,36.37753947,114,Nikita Nesterov,D,TBL,3/28/93
Nikita Nikitin,1481.45347,21.6685003,74,Nikita Nikitin,D,EDM,6/16/86
Nikita Soshnikov,1504.68669,45.48798206,12,Nikita Soshnikov,R,TOR,10/14/93
Nikita Tryamkin,1495.57184,36.14313002,22,Nikita Tryamkin,D,VAN,8/30/94
Niklas Backstrom,1479.16583,19.32313451,90,Niklas Backstrom,G,CGY,2/13/78
Niklas Hjalmarsson,1530.39618,71.84621945,150,Niklas Hjalmarsson,D,CHI,6/6/87
Niklas Kronwall,1521.69623,62.9267369,93,Niklas Kronwall,D,DET,1/12/81
Nikolaj Ehlers,1505.70326,46.53020395,32,Nikolaj Ehlers,R,WPG,2/14/96
Nikolay Kulemin,1508.38979,49.28452523,99,Nikolay Kulemin,L,NYI,7/14/86
Nino Niederreiter,1514.37132,55.41699179,85,Nino Niederreiter,R,MIN,9/8/92
Noah Hanifin,1509.4726,50.39465861,37,Noah Hanifin,D,CAR,1/25/97
Noel Acciari,1497.25454,37.86829088,23,Noel Acciari,C,BOS,12/1/91
Oliver Ekman-Larsson,1546.62499,88.48454352,135,Oliver Ekman-Larsson,D,ARI,7/17/91
Olli Maatta,1516.52554,57.62557089,96,Olli Maatta,D,PIT,8/22/94
Ondrej Palat,1538.58814,80.24489349,114,Ondrej Palat,L,TBL,3/28/91
Ondrej Pavelec,1495.73695,36.31240636,100,Ondrej Pavelec,G,WPG,8/31/87
Oscar Klefbom,1506.76471,47.61843834,114,Oscar Klefbom,D,EDM,7/20/93
Oscar Lindberg,1492.10106,32.58476915,58,Oscar Lindberg,C,NYR,10/29/91
Pierre-Alexandre Parenteau,1498.15246,38.78886879,95,Pierre-Alexandre Parenteau,R,TOR,3/24/83
Pascal Dupuis,1496.6179,37.21558605,92,Pascal Dupuis,R,PIT,4/7/79
Patrice Bergeron,1546.90169,88.76822571,118,Patrice Bergeron,C,BOS,7/24/85
Patric Hornqvist,1524.74913,66.05667308,105,Patric Hornqvist,R,PIT,1/1/87
Patrick Eaves,1509.66307,50.58993489,93,Patrick Eaves,R,DAL,5/1/84
Patrick Kane,1551.43844,93.41945502,133,Patrick Kane,R,CHI,11/19/88
Patrick Marleau,1519.75951,60.94114615,79,Patrick Marleau,L,SJS,9/15/79
Patrick Maroon,1511.53613,52.51025926,100,Patrick Maroon,L,EDM,4/23/88
Patrick Sharp,1521.26454,62.48415373,88,Patrick Sharp,L,DAL,12/27/81
Patrick Wiercioch,1494.70604,35.25548262,138,Patrick Wiercioch,D,OTT,9/12/90
Patrik Berglund,1510.84744,51.80419101,110,Patrik Berglund,C,STL,6/2/88
Patrik Elias,1499.34637,40.01290564,103,Patrik Elias,C,NJD,4/13/76
Patrik Nemeth,1482.27113,22.50679294,98,Patrik Nemeth,D,DAL,2/8/92
Paul Byron,1484.74496,25.043047,88,Paul Byron,L,MTL,4/27/89
Paul Gaustad,1485.21805,25.52807485,114,Paul Gaustad,C,NSH,2/3/82
Paul Martin,1513.9265,54.96094731,83,Paul Martin,D,SJS,3/5/81
Paul Postma,1492.33525,32.82486864,100,Paul Postma,D,WPG,2/22/89
Paul Stastny,1525.6517,66.98201832,105,Paul Stastny,C,STL,12/27/85
Pavel Datsyuk,1526.66104,68.01682778,69,Pavel Datsyuk,C,DET,7/20/78
Pekka Rinne,1510.7497,51.70398466,143,Pekka Rinne,G,NSH,11/3/82
Peter Holland,1491.23329,31.69510204,124,Peter Holland,C,TOR,1/14/91
Petr Mrazek,1529.53234,70.9605815,128,Petr Mrazek,G,DET,2/14/92
Petter Granberg,1491.5143,31.98320298,24,Petter Granberg,D,NSH,8/27/92
Philipp Grubauer,1483.91989,24.19715738,85,Philipp Grubauer,G,WSH,11/25/91
Phil Kessel,1538.80892,80.4712446,117,Phil Kessel,R,PIT,10/2/87
Phillip Danault,1500.63511,41.33416541,21,Phillip Danault,L,MTL,2/24/93
Phillip Di Giuseppe,1495.11001,35.6696463,17,Phillip Di Giuseppe,L,CAR,10/9/93
Pierre-Edouard Bellemare,1474.49812,14.53764059,82,Pierre-Edouard Bellemare,L,PHI,3/6/85
P.K. Subban,1544.97562,86.7935537,121,P.K. Subban,D,MTL,5/13/89
Quinton Howden,1483.56048,23.82867811,62,Quinton Howden,C,FLA,1/21/92
Radek Faksa,1494.58281,35.12914306,27,Radek Faksa,C,DAL,1/9/94
Radim Vrbata,1507.46503,48.33643005,65,Radim Vrbata,R,VAN,6/13/81
Radko Gudas,1499.23711,39.9008886,95,Radko Gudas,D,PHI,6/5/90
Rasmus Ristolainen,1513.54898,54.57390105,66,Rasmus Ristolainen,D,BUF,10/27/94
Reid Boucher,1488.56575,28.96024994,36,Reid Boucher,L,NJD,9/8/93
Reilly Smith,1512.69377,53.69711088,88,Reilly Smith,R,FLA,4/1/91
Rene Bourque,1485.90851,26.23595776,69,Rene Bourque,R,CBJ,12/10/81
Richard Panik,1490.70363,31.15207672,73,Richard Panik,L,CHI,2/7/91
Rickard Rakell,1506.73784,47.59089031,101,Rickard Rakell,C,ANA,5/5/93
Rick Nash,1535.62458,77.20655169,101,Rick Nash,L,NYR,6/16/84
Riley Nash,1492.44455,32.9369267,113,Riley Nash,C,CAR,5/9/89
Riley Sheahan,1496.60215,37.19943862,110,Riley Sheahan,C,DET,12/7/91
Rinat Valiev,1495.65655,36.22997757,13,Rinat Valiev,D,TOR,5/11/95
R.J. Umberger,1484.60674,24.90133919,88,R.J. Umberger,C,PHI,5/3/82
Robby Fabbri,1502.20225,42.94085027,39,Robby Fabbri,C,STL,1/22/96
Robert Bortuzzo,1483.55714,23.82525382,90,Robert Bortuzzo,D,STL,3/18/89
Roberto Luongo,1529.6422,71.07321369,91,Roberto Luongo,G,FLA,4/4/79
Robin Lehner,1494.5794,35.12564701,107,Robin Lehner,G,BUF,7/24/91
Rob Scuderi,1481.79993,22.02370279,80,Rob Scuderi,D,LAK,12/30/78
Roman Josi,1533.00755,74.52348416,105,Roman Josi,D,NSH,6/1/90
Roman Polak,1476.91202,17.01245239,92,Roman Polak,D,SJS,4/28/86
Ron Hainsey,1491.45706,31.9245186,88,Ron Hainsey,D,CAR,3/24/81
Ryan Callahan,1520.11923,61.30994324,84,Ryan Callahan,R,TBL,3/21/85
Ryan Carter,1486.25315,26.58929432,96,Ryan Carter,L,MIN,8/3/83
Ryan Dzingel,1496.0994,36.68400234,8,Ryan Dzingel,L,OTT,3/9/92
Ryane Clowe,1491.99219,32.47315195,46,Ryane Clowe,L,NJD,9/30/82
Ryan Ellis,1524.4982,65.79941117,124,Ryan Ellis,D,NSH,1/3/91
Ryan Garbutt,1486.88648,27.23860563,80,Ryan Garbutt,C,ANA,8/12/85
Ryan Getzlaf,1533.1986,74.71935507,105,Ryan Getzlaf,C,ANA,5/10/85
Ryan Johansen,1542.64318,84.40225744,116,Ryan Johansen,C,NSH,7/31/92
Ryan Kesler,1522.76956,64.02715106,106,Ryan Kesler,C,ANA,8/31/84
Ryan McDonagh,1532.21176,73.70761338,117,Ryan McDonagh,D,NYR,6/13/89
Ryan Miller,1508.67759,49.57958751,88,Ryan Miller,G,VAN,7/17/80
Ryan Murphy,1505.19154,46.00557133,102,Ryan Murphy,D,CAR,3/31/93
Ryan Murray,1507.94684,48.83039794,104,Ryan Murray,D,CBJ,9/27/93
Ryan Nugent-Hopkins,1517.17146,58.28778989,135,Ryan Nugent-Hopkins,C,EDM,4/12/93
Ryan OReilly,1528.58981,69.99426792,111,Ryan OReilly,C,BUF,2/7/91
Ryan Pulock,1500.19092,40.87876682,46,Ryan Pulock,D,NYI,10/6/94
Ryan Reaves,1474.26885,14.30258524,93,Ryan Reaves,R,STL,1/20/87
Ryan Spooner,1514.41757,55.46440886,132,Ryan Spooner,C,BOS,1/30/92
Ryan Strome,1529.81612,71.25152234,95,Ryan Strome,R,NYI,7/11/93
Ryan Suter,1539.86204,81.55093879,119,Ryan Suter,D,MIN,1/21/85
Ryan White,1474.34523,14.3808926,127,Ryan White,C,PHI,3/17/88
